Temperature,Humidity,Pressure,Wind Speed
31.90,29.00,1011.00,2.06
31.90,29.00,1011.00,2.06
31.90,31.00,1011.00,2.06
31.90,31.00,1011.00,2.06
31.90,31.00,1011.00,2.06
31.90,31.00,1011.00,2.06
5.46,74.00,1007.00,9.26
5.46,74.00,1007.00,9.26
5.90,73.00,1008.00,9.26
5.90,73.00,1008.00,9.26
5.90,73.00,1008.00,9.26
5.90,73.00,1008.00,9.26
5.90,73.00,1008.00,9.26
5.90,73.00,1008.00,9.26
30.90,42.00,1012.00,6.17
30.90,42.00,1012.00,6.17
30.90,42.00,1012.00,6.17
30.90,42.00,1012.00,6.17
30.90,42.00,1012.00,6.17
30.90,42.00,1012.00,6.17
29.90,45.00,1012.00,6.69
29.90,45.00,1012.00,6.69
29.90,45.00,1012.00,6.69
29.90,45.00,1012.00,6.69
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,5.14
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
27.90,54.00,1012.00,4.63
26.90,57.00,1012.00,4.12
26.90,57.00,1012.00,4.12
26.90,57.00,1012.00,4.12
26.90,57.00,1012.00,4.12
26.90,57.00,1012.00,4.12
26.90,57.00,1012.00,4.12

23.90,69.00,1013.00,2.06
23.90,69.00,1013.00,2.06
23.90,69.00,1013.00,2.06
23.90,69.00,1013.00,2.06
23.90,69.00,1013.00,2.06
23.90,69.00,1013.00,2.06
